,station_cd,station_g_cd,station_name,station_name_k,station_name_i,line_cd,add,lon,lat,e_sort
5660,2600302,2600302,池尻大橋,いけじりおおはし,い,26003,世田谷区池尻３-２,139.684319,35.650603,2600302
5661,2600303,2600303,三軒茶屋,さんげんぢゃや,さ,26003,世田谷区太子堂４-２１-１,139.670156,35.643716,2600303
5662,2600304,2600304,駒沢大学,こまざわだいがく,こ,26003,世田谷区上馬４-３,139.661702,35.633471,2600304
5663,2600305,2600305,桜新町,さくらしんまち,さ,26003,世田谷区桜新町２-８,139.644779,35.631666,2600305
5664,2600306,2600306,用賀,ようが,よ,26003,世田谷区用賀２-３９,139.633928,35.626436,2600306
5665,2600307,2600307,二子玉川,にこたまがわ,に,26003,世田谷区玉川２-２２-１３,139.626685,35.611788,2600307
5686,2600401,1133228,大井町,おおいまち,お,26004,品川区大井１丁目,139.735025,35.607535,2600401
5687,2600402,2600402,下神明,しもしんめい,し,26004,品川区西品川１-２９-６,139.726256,35.608704,2600402
5688,2600403,2600403,戸越公園,とごしこうえん,と,26004,品川区戸越５-１０-１５,139.718159,35.608856,2600403
5689,2600404,2600404,中延,なかのぶ,な,26004,品川区中延４-５-５,139.712526,35.60571,2600404
5690,2600405,2600405,荏原町,えばらまち,え,26004,品川区中延５-２-１,139.707571,35.60382,2600405
5691,2600406,2600406,旗の台,はたのだい,は,26004,品川区旗の台２-１３-１,139.702286,35.604923,2600406
5692,2600407,2600407,北千束,きたせんぞく,き,26004,大田区北千束２-１６-１,139.693303,35.606311,2600407
5693,2600408,2600206,大岡山,おおおかやま,お,26004,大田区北千束３-２７-１,139.685909,35.607456,2600408
5694,2600409,2600409,緑が丘,みどりがおか,み,26004,目黒区緑が丘３-１-１２,139.679482,35.60638,2600409
5695,2600410,2600107,自由が丘,じゆうがおか,じ,26004,目黒区自由が丘１-３０-１,139.668664,35.607224,2600410
5696,2600411,2600411,九品仏,くほんぶつ,く,26004,世田谷区奥沢７-２０-１,139.660992,35.60538,2600411
5697,2600412,2600412,尾山台,おやまだい,お,26004,世田谷区等々力５-５-７,139.653862,35.606971,2600412
5698,2600413,2600413,等々力,とどろき,と,26004,世田谷区等々力３-１-１,139.647938,35.608369,2600413
5699,2600414,2600414,上野毛,かみのげ,か,26004,世田谷区上野毛１-２６-６,139.638917,35.611957,2600414
5700,2600415,2600307,二子玉川,にこたまがわ,に,26004,世田谷区玉川２-２２-１３,139.626685,35.611788,2600415
5704,2600501,1130202,五反田,ごたんだ,ご,26005,東京都品川区東五反田二丁目1-1,139.724175,35.625262,2600501
5705,2600502,2600502,大崎広小路,おおさきひろこうじ,お,26005,品川区大崎４-１-１,139.722339,35.622244,2600502
5706,2600503,2600503,戸越銀座,とごしぎんざ,と,26005,品川区平塚２-１６-１,139.714862,35.615928,2600503
5707,2600504,2600504,荏原中延,えばらなかのぶ,え,26005,品川区中延２-８-１,139.712196,35.610056,2600504
5708,2600505,2600406,旗の台,はたのだい,は,26005,品川区旗の台２-１３-１,139.702286,35.604923,2600505
5709,2600506,2600506,長原,ながはら,な,26005,大田区上池台１-１０-１０,139.697881,35.60219,2600506
5710,2600507,2600507,洗足池,せんぞくいけ,せ,26005,大田区東雪谷１-１-６,139.690896,35.599648,2600507
5711,2600508,2600508,石川台,いしかわだい,い,26005,大田区東雪谷２-２３-１,139.685063,35.596888,2600508
5712,2600509,2600509,雪が谷大塚,ゆきがやおおつか,ゆ,26005,大田区南雪谷２-２-１６,139.681083,35.592038,2600509
5713,2600510,2600510,御嶽山,おんたけさん,お,26005,大田区北嶺町３２-１７,139.682473,35.585236,2600510
5714,2600511,2600511,久が原,くがはら,く,26005,大田区南久が原２-６-１０,139.685678,35.579499,2600511
5715,2600512,2600512,千鳥町,ちどりちょう,ち,26005,大田区千鳥１-２０-１,139.69142,35.572983,2600512
5716,2600513,2600513,池上,いけがみ,い,26005,大田区池上６-３-１０,139.702822,35.572025,2600513
5717,2600514,2600514,蓮沼,はすぬま,は,26005,大田区西蒲田７-１７-１,139.708544,35.564173,2600514
5718,2600515,1133230,蒲田,かまた,か,26005,大田区蒲田５丁目,139.714626,35.561767,2600515
5719,2600601,2600109,多摩川,たまがわ,た,26006,大田区田園調布１-５３-８,139.668723,35.589591,2600601
5720,2600602,2600602,沼部,ぬまべ,ぬ,26006,大田区田園調布本町２８-１,139.67326,35.582526,2600602
5721,2600603,2600603,鵜の木,うのき,う,26006,大田区鵜の木２-４-１,139.680554,35.575452,2600603
5722,2600604,2600604,下丸子,しもまるこ,し,26006,大田区下丸子３-７-１,139.685576,35.571397,2600604
5723,2600605,2600605,武蔵新田,むさしにった,む,26006,大田区矢口１-１８-１,139.692506,35.567806,2600605
5724,2600606,2600606,矢口渡,やぐちのわたし,や,26006,大田区多摩川１-２０-１５,139.700389,35.562462,2600606
5725,2600607,1133230,蒲田,かまた,か,26006,大田区蒲田５丁目,139.714626,35.561767,2600607
5726,2600701,2600303,三軒茶屋,さんげんぢゃや,さ,26007,世田谷区太子堂４-２１-１,139.670156,35.643716,2600701
5727,2600702,2600702,西太子堂,にしたいしどう,に,26007,世田谷区太子堂４-１０-３,139.666382,35.644545,2600702
5728,2600703,2600703,若林,わかばやし,わ,26007,世田谷区若林４-３-１５,139.659911,35.645933,2600703
5729,2600704,2600704,松陰神社前,しょういんじんじゃまえ,し,26007,世田谷区若林４-２１-１６,139.655211,35.643947,2600704
5730,2600705,2600705,世田谷,せたがや,せ,26007,世田谷区世田谷４-９-６,139.650945,35.643564,2600705
5731,2600706,2600706,上町,かみまち,か,26007,世田谷区世田谷３-４-３,139.646276,35.643656,2600706
5732,2600707,2600707,宮の坂,みやのさか,み,26007,世田谷区宮坂１-２４-７,139.64494,35.647508,2600707
5733,2600708,2500110,山下,やました,や,26007,世田谷区豪徳寺１-４４-５,139.646509,35.653844,2600708
5734,2600709,2600709,松原,まつばら,ま,26007,世田谷区松原４-１０-８,139.642,35.660048,2600709
5735,2600710,2400107,下高井戸,しもたかいど,し,26007,世田谷区松原３-２９-１７,139.641372,35.66615,2600710
